id,text,CE,ENV,BME,PE,METAL,ME,EE,CPE,OPTIC,NANO,CHE,MATENG,AGRI,EDU,IE,SAFETY,MATH,MATSCI
001,activated carbon derived bacterial cellulose use catalyst ethanol conversion ethylene activated carbon derived bacterial cellulose bc ac modified amount h po x wt p bc ac used catalyst selective dehydration ethanol ethylene bc ac obtained carbonization temperature c mesoporous structure surface area total pore volume g cm g h po loading increased number weak acid site catalyst surface enhanced ethanol conversion reaction temperature c modified bc ac wt h po loading p bc ac gave ethanol conversion ethylene selectivity high selectivity diethyl ether dee ethanol conversion obtained c stability test time stream h reaction temperature c showed p bc ac catalyst high thermal stability stable catalytic activity p bc ac effective inexpensive environmentally friendly catalyst ethylene production via ethanol dehydration,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
002,algorithm static hand gesture recognition using rule based classification ag technology becomes part human life decade human computer interaction hci considered important area involving assistive technology medical system hand gesture classified intuitive method human interact computer useful elderly people express feeling word proposed hand gesture recognition technique elderly using contour detection convex hull feature extraction rule based classification vision based hand gesture recognition considered classifying six hand gesture lingual description experimental result hand gesture system provides good detection classification result six static hand gesture,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
003,alternative redundant residue number system construction redundant residue representation residue number system rn number representation system represents large integer smaller integer due ability perform addition multiplication parallel rn widely used signal processing communication cryptography extend ability rn redundant residue number system rrns ability detect correct error proposed used fault tolerant application currently major way construct rrns rn alternative way construction using redundant residue representation proposed rrns perform certain operation efficiently example backward conversion error detection perform complex rn operation namely comparing value rrns representation however would cost perform addition multiplication rrns work previous work advantage drawback investigation required improve performance proposed rrns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
004,comparative wax inhibitor performance pour point reduction oil sirikit oilfield petroleum industry waxy crude oil normally petroleum production wax formation precipitation pipeline transport waxy crude oil challenge including wax deposition flow reduction adversely impact pipeline performance oil gas production overcome wax deposition problem small amount chemical like wax inhibitor provide effective preventative measure mechanism reduce pour point temperature work oil sirikit oilfield selected wax inhibitor selected performance pour point reduction chemical polyalkyl methacrylate pama poly maleic anhydride alt octadecane pmao polyalkyl methacrylate co ethylene glycol pamaeg copolymer maleic anhydride cpma concentration ranging ppm n pentane concentration weight used solvent wax inhibitor result n pentane reduce pour point compared original oil furthermore among polymer group pmao reduce lowest pour point addition mixed solvent polymer n pentane provide relatively le effect pour point reduction mixture n pentane pmao lower pour point certain level compared original oil applied use real field prevent wax deposition pipeline transportation oil production,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
005,undrained lower bound solution end bearing capacity shallow circular pile non homogeneous anisotropic clay undrained bearing capacity shallow circular pile non homogeneous anisotropic clay investigated lower bound lb finite element limit fela dimensional axisymmetric condition using second order cone programming new solution problem modified isotropic von mi yield criterion cross anisotropic undrained strength criterion clay axisymmetric state stress requiring input shear strength triaxial compression direct simple shear triaxial extension employed axisymmetric lb fela parametric study effect pile embedment ratio dimensionless strength gradient anisotropic strength ratio pile roughness investigated extensively predicted failure mechanism associated parameter compared numerical result undrained end bearing capacity shallow circular pile summarized form design table useful design practice represent new contribution field pile capacity combined effect undrained strength non homogeneity anisotropy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
006,word diffusion across facebook page facebook page prominent known online medium business news broadcasting facebook page seem importantly technological tool provide method framework identifying trending word analyzing trend flow result demonstrated incorporating reaction factor weighting importance word message posted different period time domain help identify flow trendy word,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
007,transformation time petri net promela method transformation time petri net promela order verify behavioral property timed system concurrent system time attribute transaction typically written time petri net quantitative qualitative property time petri net would transformed promela beforehand propose linear temporal formula specify correctness property proposed transforming method cope representation petri net structure dynamic behavior token flow time petri net modelled promela code hence implicit dynamic behavior would practically described model promela code simulated verified spin tool time related behavior would evaluated qualitative property safety liveness,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
008,annual degradation rate mono si photovoltaics system using mixed effect method annual degradation rate dr photovoltaics pv system critical factor evaluate energy performance levelized cost electricity lcoe operation lifetime however dr particular system technical configuration pv module array inverter configuration climatic condition real operation dataset dr necessary pv engineer order estimate energy performance lcoe particular system article annual dr group pv system share monocrystalline silicon mono si solar cell inverter brand four period using simple linear regression apply linear mixed effect method estimate dr suitable formula time series data annual dr per confidence interval per hence operation lifetime pv system reach initial energy conversion performance confidence interval dr informative useful pv system performance cost investment tropical region furthermore group estimate dr pv station system scale based mixed effect method enriched knowledge operation mono si pv station real operation condition,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
009,development low cost ear eeg prototype focused building low cost wearable eeg device multiple usage device suitable long period monitoring ear eeg desirable wearable characteristic electrode earbud relatively simple install wear ear prototype built earphone rubber earpiece silver adhesive fabric electrode raw material cost dollar per piece impedance measurement ear eeg comparable commercial electrode signal verification conducted teeth clenching assr mmn correlation signal verification result strong correlation ear eeg signal coefficient,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
010,model based integrated zinc air flow battery zinc electrolyzer system lao atiman bumroongsil arpornwichanop bumroongsakulsawat olaru work analyzing integrated system zinc air flow battery zinc electrolyzer energy storage application efficient utilization inherently intermittent renewable energy source safe cost effective energy storage system required zinc air flow battery integrated zinc electrolyzer show great promise electricity storage system due high specific energy density low cost mathematical model system developed model implemented matlab validated experimental result validation model verified agreement simulation experimental polarization characteristic behavior performance system examined function different operating parameter flow rate electrolyte initial concentration potassium hydroxide koh initial concentration zincate ion parameter affected performance system influence hydrogen evolution reaction performance system investigated affected coulombic efficiency zinc air flow battery zinc electrolyzer optimal koh concentration whilst increased koh concentration enhanced discharge energy battery increased battery electrolyzer however higher initial concentration zincate ion reduced improved coulombic efficiency system besides higher flow rate electrolyte enhanced performance system high charge discharge current maintaining concentration active specie cell battery suffered higher rate high flow rate noted model based provided insight behavioral characteristic system leading improved design operation integrated system zinc air flow battery zinc electrolyzer,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
